subject,summary,press,wdate,link
"한화오션, 가파른 실적 성장 기대…목표가 11%↑-한국","한국투자증권은 31일 한화오션(042660)에 대해 상선 부문이 순항하고, 특수선 실적이 두각을 나타나면서 올해 가파른 실적 성장이 기.. 이데일리 | 2025-01-31 07:46:14",이데일리,2025-01-31 07:46:14,https://n.news.naver.com/mnews/article/018/0005933634
"""현대모비스, 지난해 4분기도 실적 서프라이즈…목표가↑""[클릭 e종목]",하나증권은 현대모비스에 대해 지난해 4분기도 실적 서프라이즈를 기록했다며 목표가를 기존 30만원에서 31만원으로 상향한다고 31일 분석.. 아시아경제 | 2025-01-31 07:45:31,아시아경제,2025-01-31 07:45:31,https://n.news.naver.com/mnews/article/277/0005539559
실적 파란불에도 ‘트럼프 관세’ 한마디에 美증시 ‘출렁’ [투자360],지난 27일(현지시간) 미국 뉴욕증권거래소(NYSE)에서 트레이더와 금융 전문가들이 분주히 일하고 있다. [AFP] 뉴욕증시가 기업 실.. 헤럴드경제 | 2025-01-31 07:45:07,헤럴드경제,2025-01-31 07:45:07,https://n.news.naver.com/mnews/article/016/0002421853
"GS리테일, 4분기 실적 부진 전망…목표가↓-IBK","IBK투자증권은 31일 GS리테일(007070)에 대해 4분기 실적이 시장 기대치를 밑돌 것으로 전망하며, ‘매수’ 투자의견을 유지하며.. 이데일리 | 2025-01-31 07:44:13",이데일리,2025-01-31 07:44:13,https://n.news.naver.com/mnews/article/018/0005933633
"현대모비스, 핵심부품 수익성 개선…목표가↑-하나","하나증권은 31일 현대모비스(012330)에 대해 실적과 주주환원 정책을 긍정적으로 평가하며, ‘매수’ 투자의견을 유지하고 목표가를 종.. 이데일리 | 2025-01-31 07:36:11",이데일리,2025-01-31 07:36:11,https://n.news.naver.com/mnews/article/018/0005933631
미국 노조 운동 [원자재 & ETF 뉴스],"원자재 시황도 살펴보겠습니다. 현재 시간 5시 48분 지나가고 있고요, 5시 수치를 기준으로 하고 있습니다. 국제유가부터 확인해 보겠습.. 한국경제TV | 2025-01-31 07:35:08",한국경제TV,2025-01-31 07:35:08,https://n.news.naver.com/mnews/article/215/0001196840
실망스런 아이폰 판매 불구.. 애플 시간외 거래서 3% 급등,애플이 예상치에 못 미치는 아이폰 판매 실적을 발표했지만 시간외 거래에서 주가는 3% 급등했다. 30일(현지시간) 애플은 분기 실적 발.. 매일경제 | 2025-01-31 07:35:06,매일경제,2025-01-31 07:35:06,https://n.news.naver.com/mnews/article/009/0005436168
"""GS리테일, 고정비 부담에 4분기 실적 부진할 것…목표가↓ ""-IBK",IBK투자증권은 31일 GS리테일의 목표주가를 기존 2만7000원에서 2만1000원으로 낮췄다. 지난해 4분기 실적이 예상치를 크게 밑.. 한국경제 | 2025-01-31 07:33:14,한국경제,2025-01-31 07:33:14,https://n.news.naver.com/mnews/article/015/0005087756
"LG엔솔, 매출 반등 전망되나 실적·가격 부담 여전…목표가↓-하나","하나증권은 LG에너지솔루션(373220)에 대해 “올해 매출 반등이 전망되나 부담은 여전하다”고 평가했다. 투자의견은 ‘매수’, 목표가.. 이데일리 | 2025-01-31 07:20:07",이데일리,2025-01-31 07:20:07,https://n.news.naver.com/mnews/article/018/0005933628
"IBK證 “GS리테일, 높아진 고정비에 영업실적 부진 전망…목표주가 22% 하향 조정”",IBK투자증권은 31일 GS리테일에 대해 호텔과 후레쉬미트 인적분할 결정에 따른 사업부 제외와 높아진 고정비에 대한 부담 등으로 부진한.. 조선비즈 | 2025-01-31 07:17:08,조선비즈,2025-01-31 07:17:08,https://n.news.naver.com/mnews/article/366/0001050319
"美 3대 지수, 일제히 상승…테슬라 2.8%↑·MS 6.2%↓ [뉴욕증시 브리핑]","뉴욕증시의 3대 지수가 일제히 상승했다. 마이크로소프트는 6% 넘게 하락했지만, 다른 기술주가 견조한 모습을 보였다. 30일(현지시간).. 한국경제 | 2025-01-31 07:11:09",한국경제,2025-01-31 07:11:09,https://n.news.naver.com/mnews/article/015/0005087752
관세·빅테크 실적에 흔들린 뉴욕증시…S&P500 0.5%↑[월스트리트in],뉴욕증시가 소폭 상승 마감했다. 극심한 변동성을 보인 하루였다. 지난해 4분기 미국 국내총생산(GDP) 증가율이 예상보다 약하게 나온 .. 이데일리 | 2025-01-31 07:01:10,이데일리,2025-01-31 07:01:10,https://n.news.naver.com/mnews/article/018/0005933624
이틀만에 9.7조 빠진 CMA…어디로 갔나 봤더니,증시 대기 자금으로 분류되는 국내 증권사의 종합자산관리계좌(CMA) 잔액이 도널드 트럼프 미국 대통령 취임 직후 순식간에 10조 원 가.. 서울경제 | 2025-01-31 07:01:09,서울경제,2025-01-31 07:01:09,https://n.news.naver.com/mnews/article/011/0004445124
"‘정답은 AI’ 메타·테슬라 뜨고, MS 내리고…美 증시, 동반 강세 [투자360]",미국 뉴욕증시 3대 주가지수가 30일(현지시간) 동반 강세로 마감했다. 마이크로소프트(MS)의 실적 전망이 실망감을 주면서 시장 불안감.. 헤럴드경제 | 2025-01-31 07:01:06,헤럴드경제,2025-01-31 07:01:06,https://n.news.naver.com/mnews/article/016/0002421840
올해 중소형주 장세 열리나...고개 드는 코스닥 낙관론,코스닥 시장이 작년 한 해 동안 20% 넘게 떨어지며 부진했던 가운데 올해는 반전에 성공할 수 있을지 주목된다. 증권사들은 코스닥이 지.. 데일리안 | 2025-01-31 07:00:15,데일리안,2025-01-31 07:00:15,https://n.news.naver.com/mnews/article/119/0002918470
"CFD, 새해 들어 회복세 ‘뚜렷’…공매도 재개로 더욱 탄력받나",새해 들어 레버리지(차입) 투자상품인 차액결제거래(CFD)의 잔고가 증가세를 보이고 있다. 폐지 절차를 밟은 금융투자소득세(금투세)가 .. 데일리안 | 2025-01-31 07:00:13,데일리안,2025-01-31 07:00:13,https://n.news.naver.com/mnews/article/119/0002918469
"""그 집안 자산관리 우리가!"" 증권사는 패밀리오피스 전쟁 중","'패밀리오피스'로 대표되는 증권사들의 슈퍼리치 서비스 경쟁이 갈수록 치열해지고 있다. 고액에서 초고액으로, 개인에서 가문 전체의 자산을.. 비즈워치 | 2025-01-31 07:00:08",비즈워치,2025-01-31 07:00:08,https://n.news.naver.com/mnews/article/648/0000032903
"6조 뭉칫돈 몰리더니…""정부 금지령 떴다"" 개미들 '날벼락'",국내 상장된 해외주식형 토탈리턴(TR)형 상장지수펀드(ETF)들에 정부가 사실상 '운용 금지령'을 내린 가운데 투자자들 주의가 요구된다.. 한국경제 | 2025-01-31 06:31:16,한국경제,2025-01-31 06:31:16,https://n.news.naver.com/mnews/article/015/0005087746
[속보]뉴욕증시 소폭 상승 마감...테슬라 2.8%↑·MS 6.2%↓,"뉴욕증시가 소폭 상승 마감했다. 지난해 4분기 미국 국내총생산(GDP) 증가율이 예상보다 약하게 나온 가운데, 메타·테슬라·마이크로소프.. 이데일리 | 2025-01-31 06:12:15",이데일리,2025-01-31 06:12:15,https://n.news.naver.com/mnews/article/018/0005933616
"“역시 간 큰 개미들이네”…트럼프에 한 방 맞은 인도 증시, 한국 투자자는 줍줍",센섹스지수 고점대비 11% 뚝 올들어서만 2.5% 넘게 빠져 관련 ETF도 최대 12% 급락 관세 리스크에 투자심리 냉각 개인은 저가매.. 매일경제 | 2025-01-31 06:05:10,매일경제,2025-01-31 06:05:10,https://n.news.naver.com/mnews/article/009/0005436155
"""얼마 만에 반등이야"" 美 증시 제친 韓…1월 호황 이어질까",지난해 추락했던 국내 증시가 바닥을 다지고 반등에 나섰다. 코스피와 코스닥 1월 수익률이 미국 증시보다 좋았다. 31일 한국거래소에 따.. 뉴스1 | 2025-01-31 06:05:00,뉴스1,2025-01-31 06:05:00,https://n.news.naver.com/mnews/article/421/0008047604
펀드 매니저가 개미 포트폴리오 베낀다고?... 쏠림 키우는 ‘서학개미 ETF’,"삼성·한투운용, 서학개미가 선택한 종목 담는 ETF 유망 업종이나 특정 테마가 아니라 단순히 개인 투자자가 많이 산 미국 주식을 편입하.. 조선비즈 | 2025-01-31 06:00:18",조선비즈,2025-01-31 06:00:18,https://n.news.naver.com/mnews/article/366/0001050300
지난해 등록 ABS 발행액 21.8% 감소…주금공 MBS 절반 급감,지난해 한국주택금융공사 주택저당증권(MBS) 발행이 줄면서 등록 자산유동화증권(ABS) 발행 금액이 5분의 1 이상 줄어든 것으로 나타.. 뉴스1 | 2025-01-31 06:00:00,뉴스1,2025-01-31 06:00:00,https://n.news.naver.com/mnews/article/421/0008047582
지난해 등록 ABS 발행 51.7조원…전년 대비 21.8% 줄었다,지난해 등록 ABS(자산유동화증권) 발행이 한국주택금융공사 MBS(주택저당증권) 발행이 줄어든 영향으로 전년 대비 21.8% 감소했다... 머니투데이 | 2025-01-31 06:00:00,머니투데이,2025-01-31 06:00:00,https://n.news.naver.com/mnews/article/008/0005146945
지난해 ABS 22% 축소…주금공 주택저당증권 발행↓,지난해 등록 자산유동화증권(ABS) 발행이 22% 가까이 줄어든 것으로 나타났다. 한국주택금융공사의 주택저당증권(MBS) 발행 축소 등.. 뉴시스 | 2025-01-31 06:00:00,뉴시스,2025-01-31 06:00:00,https://n.news.naver.com/mnews/article/003/0013039722
"뉴욕증시, 빅테크 실적·FOMC 소화·경제지표 주시…혼조 출발",김 현 연합인포맥스 통신원 = 뉴욕증시는 빅테크 실적과 연방준비제도(Fed·연준)의 올해 첫 통화정책 회의 결과를 소화하는 가운데 신규.. 연합뉴스 | 2025-01-31 01:01:33,연합뉴스,2025-01-31 01:01:33,https://n.news.naver.com/mnews/article/001/0015184439
美 ‘AI 패권’ 불확실성 확대… 국내 증시 영향은?,나흘간 휴장한 국내 증시에 중국 인공지능(AI) 스타트업인 딥시크 충격이 시차를 두고 반영될지 시장의 관심이 쏠린다. 낮은 비용으로 오.. 국민일보 | 2025-01-31 00:03:18,국민일보,2025-01-31 00:03:18,https://n.news.naver.com/mnews/article/005/0001754443
