subject,summary,press,wdate,link
메모리 양극화 심화에…삼성전자 4분기 반도체 영업익 2.9조(종합),역대 2번째 연간 300조원대 매출…연간 R&D·시설투자는 사상 최대 올해 '상저하고' 흐름 보일 듯…HBM3E 판매 확대 관건 삼성전.. 연합뉴스 | 2025-01-31 10:09:54,연합뉴스,2025-01-31 10:09:54,https://n.news.naver.com/mnews/article/001/0015184779
‘딥시크 쇼크’에 관련주 희비…‘반도체’ 울고 ‘AI소프트웨어’ 웃고,‘딥시크 쇼크’ 영향으로 반도체장비 관련주와 인공지능(AI)소프트웨어 관련주의 희비가 엇갈리고 있다. 31일 오전 9시 55분 현재 한.. 매일경제 | 2025-01-31 10:09:08,매일경제,2025-01-31 10:09:08,https://n.news.naver.com/mnews/article/009/0005436231
"""백종원 믿고 샀는데"" 신저가 찍은 더본코리아…99.99%가 '비명'",백종원 대표의 더본코리아가 장 중 2%대 내리며 52주 신저가를 기록했다. 31일 오전 9시55분 기준 코스피 시장에서 더본코리아는 전.. 머니투데이 | 2025-01-31 10:08:44,머니투데이,2025-01-31 10:08:44,https://n.news.naver.com/mnews/article/008/0005147053
"미래운용 ‘TIGER 미국필라델피아AI반도체나스닥’, 순자산 3000억 돌파",미래에셋자산운용은 ‘TIGER 미국필라델피아AI반도체나스닥’ 상장지수펀드(ETF)의 순자산이 3000억원을 돌파했다고 31일 밝혔다. .. 이데일리 | 2025-01-31 10:07:09,이데일리,2025-01-31 10:07:09,https://n.news.naver.com/mnews/article/018/0005933797
‘반도체 뒷걸음질’ 삼성전자…외국인 보유 비중 2년來 최저 [투자360],"50.24%…2023년 1월 이후 최저 외인 6개월 순매도 1위, 2위도 우선주 증권사 7곳 이달 목표주가 하향 ‘가성비 AI 모델’ .. 헤럴드경제 | 2025-01-31 10:02:10",헤럴드경제,2025-01-31 10:02:10,https://n.news.naver.com/mnews/article/016/0002421966
“투자자 99%가 손실이라니”…리니지 제국 다시 부활할까 [K주식 이걸 사? 말아?],"104만원→17만원 4년 만에 주저앉은 엔씨소프트 주가입니다. 한때 리니지 진성 유저, 이른바 ‘린저씨’들의 사랑을 듬뿍 받으며 국내 .. 매일경제 | 2025-01-31 10:00:10",매일경제,2025-01-31 10:00:10,https://n.news.naver.com/mnews/article/009/0005436226
딥시크 충격에 SK하이닉스 약세…네이버·카카오 급등,설 연휴를 끝내고 개장한 국내 증시가 하락 출발했다. 연휴 기간 글로벌 증시에 충격을 안긴 중국 인공지능(AI) 기업 딥시크의 영향이 .. 아시아경제 | 2025-01-31 09:58:01,아시아경제,2025-01-31 09:58:01,https://n.news.naver.com/mnews/article/277/0005539654
"""언젠간 오르겠지"" 버텼는데 적자 확대…호텔신라 목표가도 '뚝뚝'",지난해 4분기 부진한 실적을 낸 호텔신라가 장 중 3%대 하락 중이다. 호텔신라에 대한 증권가의 시선이 낮아진다. 31일 오전 9시 3.. 머니투데이 | 2025-01-31 09:49:16,머니투데이,2025-01-31 09:49:16,https://n.news.naver.com/mnews/article/008/0005147039
`딥시크 쇼크` 국장 덮쳤다…SK하이닉스 10%대↓,엔비디아 17% 폭락 여파 중국의 저비용 인공지능(AI) 딥시크(DeepSeek)의 등장 충격에 국내 주식시장도 요동치고 있다. 설 명.. 디지털타임스 | 2025-01-31 09:42:07,디지털타임스,2025-01-31 09:42:07,https://n.news.naver.com/mnews/article/029/0002932300
"현금부자 주목, KODEX 200타겟위클리커버드콜…순자산 1000억 돌파",국내 자산과 연계된 타겟커버드콜 상품에 투자자 관심이 커진다. 1억원을 투자하면 월 142만원을 받을 수 있는데 세금은 3만원 수준이라.. 머니투데이 | 2025-01-31 09:41:32,머니투데이,2025-01-31 09:41:32,https://n.news.naver.com/mnews/article/008/0005147034
